,VaR,ES
2022-02-23,0.02255166455006591,0.0259163293607269
2022-02-24,0.024257309652095545,0.027870426437745895
2022-02-25,0.02530972321760977,0.029076139320067855
2022-02-28,0.0252862221565653,0.029049214988248067
2022-03-01,0.023364359628732297,0.02684740527789159
2022-03-02,0.022912563847837124,0.026329798881457648
2022-03-03,0.023535112327718034,0.027043030586804972
2022-03-04,0.022098418878154863,0.025397061875598273
2022-03-07,0.021441355827736736,0.024644288051365208
2022-03-08,0.025745038638799587,0.02957486475311139
2022-03-09,0.02420609610604682,0.027811752895097134
2022-03-10,0.02768610462263613,0.0317986751816715
2022-03-11,0.026652192708899437,0.030614158985351504
2022-03-14,0.02641271429928743,0.03033979706816537
2022-03-15,0.02631161718599347,0.030223973692395288
2022-03-16,0.027905754684711834,0.032050320464596084
2022-03-17,0.029926026085275906,0.034364873728888655
2022-03-18,0.028028040828375143,0.03219041936067245
2022-03-21,0.0272449937176508,0.031293310068467514
2022-03-22,0.025271767307927986,0.02903265458102307
2022-03-23,0.02486190509948048,0.0285630899907371
2022-03-24,0.023972958814743255,0.027544655772173778
2022-03-25,0.024318257799714485,0.027940252568029487
2022-03-28,0.022528773205395435,0.025890103559324033
2022-03-29,0.021480902253249806,0.024689594987966315
2022-03-30,0.021450395063065807,0.02465464398256919
2022-03-31,0.020271325760776965,0.02330382611637664
2022-04-01,0.02043469387665565,0.023490991170429656
2022-04-04,0.01893523009600449,0.021773108717990042
2022-04-05,0.019596583952974398,0.022530798367051446
2022-04-06,0.020693919370633737,0.023787976621546424
2022-04-07,0.0210314950198186,0.02417472506561605
2022-04-08,0.019543089442304037,0.022469511604164417
2022-04-11,0.018818673553678604,0.021639574022879422
2022-04-12,0.020912875485596432,0.02403882687388491
2022-04-13,0.019611394829435514,0.02254776666272228
2022-04-14,0.019945683885291037,0.022930749773422982
2022-04-18,0.021749837877553278,0.024997704990880956
2022-04-19,0.020081590771754705,0.02308645347126105
2022-04-20,0.02086684021069791,0.023986085892767614
2022-04-21,0.019846665426969272,0.022817307838903754
2022-04-22,0.020183568332308863,0.02320328554421883
2022-04-25,0.02376163293303996,0.027302547207359515
2022-04-26,0.02237400599705351,0.025712792259875238
2022-04-27,0.027533979246035907,0.031624390535116856
2022-04-28,0.02528565642513096,0.02904856684981592
2022-04-29,0.02933265724382971,0.03368507210000091
2022-05-02,0.03471882236275034,0.039855810375331514
2022-05-03,0.032141057662584065,0.03690255681757579
2022-05-04,0.029502658763836655,0.033879836809810146
2022-05-05,0.03265213595903098,0.03748808108873065
2022-05-06,0.039717892104606085,0.045583067211322874
2022-05-09,0.03651125805093256,0.041909340347571045
2022-05-10,0.038504112735741836,0.04419248325336984
2022-05-11,0.03556631436442736,0.04082675189259286
2022-05-12,0.03683554054726735,0.042280859298062086
2022-05-13,0.03435340290135145,0.039437162263508185
2022-05-16,0.035424593221261576,0.04066438700714131
2022-05-17,0.03269082490754564,0.037532405644358
2022-05-18,0.03245536128198917,0.037262643322819554
2022-05-19,0.03977688693731737,0.04565065549802048
2022-05-20,0.03688583037961347,0.04233847457469519
2022-05-23,0.03369322297295731,0.038680817542764985
2022-05-24,0.03348723776610337,0.03844482759963822
2022-05-25,0.031809515698067274,0.036522720951954926
2022-05-26,0.029592834749607312,0.03398314823725895
2022-05-27,0.029892271204419868,0.03432620195951681
2022-05-31,0.03214499528287403,0.03690706800943503
2022-06-01,0.029585468407149866,0.03397470888006367
2022-06-02,0.027282047209037496,0.03133576093888946
2022-06-03,0.02761257648309512,0.031714436600981555
2022-06-06,0.029062418943406037,0.033375469667274366
2022-06-07,0.02675459114043411,0.030731473235259134
2022-06-08,0.02539872483403131,0.029178105314220062
2022-06-09,0.023868758857415916,0.02742527757808372
2022-06-10,0.02682884310396646,0.030816541075414643
2022-06-13,0.030771802905970327,0.035333850224152946
2022-06-14,0.03674273555281649,0.04217453590864574
2022-06-15,0.03370583511291617,0.038695266824036484
2022-06-16,0.0328114282873332,0.037670576657566464
2022-06-17,0.03640838069830732,0.04179147741476209
2022-06-21,0.03363506055046127,0.03861418291891703
2022-06-22,0.034093464848088346,0.03913936045850021
2022-06-23,0.031397162207292356,0.036050302187897273
2022-06-24,0.029906148193346818,0.03434210033337413
2022-06-27,0.03205040070500686,0.036798694357793114
2022-06-28,0.02949985840690364,0.0338766285402288
